id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,secondary_moods,language,explicit
1,Electric Bloom,StaticEcho,folk,chill,0.75,113,0.57,0.87,0.12,17,1970s,bittersweet|warm,english,false
2,Glass Nights,Paperline,rnb,sad,0.47,64,0.26,0.66,0.29,94,1980s,bittersweet|dark,french,false
3,Distant Runner,LoHouse,classical,chill,0.40,131,0.49,0.61,0.25,57,2000s,focused|playful,portuguese,false
4,Distant Parade,VoltSignal,indie,romantic,1.00,104,0.66,0.40,0.00,65,1980s,triumphant|bright,japanese,false
5,Iron Nights,IronRiders,folk,intense,0.37,105,0.31,0.59,0.81,41,1980s,dark|warm,japanese,false
6,Burning Motion,LunarRiders,lofi,sad,0.83,89,0.47,0.41,0.00,55,2020s,fierce|aggressive,french,false
7,Ocean Signal,VoltDrift,reggae,peaceful,0.25,127,0.00,1.00,0.63,72,1970s,cozy|aggressive,korean,false
8,Ocean Lights,ShadowEcho,classical,peaceful,0.86,109,0.99,0.48,0.88,57,2020s,bright|nostalgic,portuguese,false
9,Summer Bloom,NeonSignal,reggae,romantic,0.97,101,0.38,0.55,0.00,27,2010s,introspective|aggressive,portuguese,false
10,Glass Motion,IndigoParade,edm,hopeful,1.00,118,0.84,0.29,0.36,61,2010s,focused|bright,hindi,false
11,Wild Fire,ShadowTheory,folk,hopeful,0.69,104,0.16,0.50,1.00,44,2020s,introspective|playful,german,false
12,Frozen Nights,VoltTheory,country,chill,0.55,120,0.81,0.58,0.37,53,2020s,warm|dreamy,spanish,false
13,Ocean Fire,GoldenCircuit,hiphop,romantic,0.47,91,0.89,0.90,0.09,45,2000s,bittersweet|introspective,spanish,false
14,Velvet Road,ShadowHouse,country,happy,0.22,50,0.71,0.67,0.08,88,1980s,introspective|bright,hindi,false
15,Broken Waves,Lo7,latin,chill,0.08,130,0.42,0.53,0.97,54,1970s,dreamy|gritty,german,false
16,Midnight Drift,LunarRoom,classical,happy,0.75,107,0.56,0.33,0.00,78,2010s,tender|aggressive,japanese,false
17,Electric Waves,PaperUnion,reggae,energetic,0.86,123,0.01,0.54,0.82,97,1970s,gritty|focused,spanish,false
18,Faded Hymn,SilverGarden,hiphop,peaceful,0.26,86,0.21,0.68,0.00,48,1980s,dark|dreamy,french,false
19,Velvet Horizon,LunarCollective,edm,chill,0.90,112,0.39,0.51,0.05,49,1980s,triumphant|focused,japanese,false
20,Broken Reverie,CosmicWave,metal,angry,1.00,112,0.39,0.83,0.55,50,1970s,cozy|aggressive,french,false
21,Silent Lights,ShadowProject,folk,romantic,0.36,109,0.57,0.51,0.03,26,1970s,uplifting|dark,korean,false
22,Golden Fire,LoMachine,reggae,melancholy,0.44,104,0.86,0.45,0.45,59,1990s,bright|aggressive,german,false
23,Burning Nights,GoldenHouse,hiphop,sad,0.43,85,0.03,0.40,0.89,49,1980s,gritty|bright,german,true
24,Faded Heart,IronSound,jazz,intense,0.58,96,0.84,0.27,0.50,91,2000s,triumphant|playful,japanese,false
25,Silent Coding,PaperSignal,jazz,chill,0.75,104,0.34,0.39,0.77,52,1970s,cozy|nostalgic,korean,false
